price,engine_capacity,cylinder,horse_power,top_speed,seats,year,brand_freq,country_freq
37955.25,0.25,0.25,0.023069207622868602,0.5565092989985694,0.375,0.9285714285714448,0.20795660036166363,0.7155067155067155
26671.95,0.1875,0.25,0.007422266800401204,0.38483547925608014,0.125,0.9285714285714448,0.11392405063291139,0.7155067155067155
53460.0,0.2875,0.25,0.0712136409227683,0.46494992846924177,0.125,0.9285714285714448,0.5822784810126582,0.7155067155067155
28179.975,0.225,0.25,0.015045135406218654,0.513590844062947,0.1875,0.9285714285714448,0.23327305605786616,0.7155067155067155
25740.45,0.225,0.25,0.015045135406218654,0.513590844062947,0.1875,0.9285714285714448,0.23327305605786616,0.7155067155067155
22368.15,0.25,0.25,0.01103309929789368,0.4563662374821173,0.1875,0.9285714285714448,0.20795660036166363,0.7155067155067155
20667.15,0.25,0.25,0.01103309929789368,0.4563662374821173,0.1875,0.9285714285714448,0.20795660036166363,0.7155067155067155
31563.000000000004,0.3125,0.25,0.021063189568706116,0.5393419170243204,0.1875,0.9285714285714448,0.12115732368896925,0.7155067155067155
64260.00000000001,0.3375,0.375,0.09568706118355065,0.46494992846924177,0.1875,0.9285714285714448,0.5822784810126582,0.7155067155067155
24808.95,0.1875,0.25,0.007422266800401204,0.38483547925608014,0.125,0.9285714285714448,0.11392405063291139,0.7155067155067155
19530.45,0.225,0.25,0.015045135406218654,0.513590844062947,0.1875,0.9285714285714448,0.23327305605786616,0.7155067155067155
30109.050000000003,0.25,0.25,0.02668004012036108,0.5422031473533618,0.3125,0.9285714285714448,0.05063291139240506,0.7155067155067155
19840.95,0.1875,0.25,0.01745235707121364,0.48497854077253216,0.1875,0.9285714285714448,0.05063291139240506,0.7155067155067155
281738.79000000004,0.5,0.5,0.08786359077231695,0.8912732474964234,0.125,0.9285714285714448,0.081374321880651,0.7155067155067155
374344.74000000005,0.65,0.75,0.16750250752256768,0.8426323319027181,0.125,0.9285714285714448,0.081374321880651,0.7155067155067155
17388.0,0.1875,0.25,0.01745235707121364,0.48497854077253216,0.1875,0.9285714285714448,0.05063291139240506,0.7155067155067155
82350.0,0.4375,0.375,0.09327983951855566,0.6566523605150214,0.3125,0.9285714285714448,0.0325497287522604,0.7155067155067155
260111.25000000003,0.5,0.5,0.08786359077231695,0.8283261802575107,0.125,0.9285714285714448,0.081374321880651,0.7155067155067155
54054.0,0.475,0.375,0.058174523570712136,0.4907010014306152,0.375,0.9285714285714448,0.3887884267631103,0.7155067155067155
21087.27,0.2,0.25,0.011233701103309929,0.513590844062947,0.1875,0.9285714285714448,0.64376130198915,0.7155067155067155
20662.29,0.2,0.25,0.011233701103309929,0.513590844062947,0.1875,0.9285714285714448,0.64376130198915,0.7155067155067155
20134.440000000002,0.2,0.25,0.011233701103309929,0.513590844062947,0.1875,0.9285714285714448,0.64376130198915,0.7155067155067155
22040.370000000003,0.2,0.25,0.011233701103309929,0.513590844062947,0.1875,0.9285714285714448,0.64376130198915,0.7155067155067155
53836.65,0.375,0.375,0.06720160481444333,0.6852646638054363,0.3125,0.9285714285714448,0.13562386980108498,0.7155067155067155
38416.950000000004,0.4375,0.375,0.054162487462387165,0.4907010014306152,0.3125,0.9285714285714448,0.3887884267631103,0.7155067155067155
53836.65,0.375,0.375,0.06720160481444333,0.6852646638054363,0.3125,0.9285714285714448,0.13562386980108498,0.7155067155067155
23638.77,0.2,0.25,0.011233701103309929,0.513590844062947,0.1875,0.9285714285714448,0.64376130198915,0.7155067155067155
26835.84,0.25,0.25,0.020661985957873618,0.5422031473533618,0.1875,0.9285714285714448,0.64376130198915,0.7155067155067155
23179.5,0.25,0.25,0.03329989969909729,0.5708154506437768,0.1875,0.9285714285714448,0.12658227848101264,0.7155067155067155
27526.5,0.25,0.25,0.03329989969909729,0.5708154506437768,0.1875,0.9285714285714448,0.12658227848101264,0.7155067155067155
24284.34,0.225,0.25,0.011233701103309929,0.513590844062947,0.1875,0.9285714285714448,0.64376130198915,0.7155067155067155
26712.72,0.225,0.25,0.011233701103309929,0.513590844062947,0.1875,0.9285714285714448,0.64376130198915,0.7155067155067155
64552.950000000004,0.375,0.375,0.06359077231695086,0.6852646638054363,0.0,0.9285714285714448,0.64376130198915,0.7155067155067155
106461.0,0.775,0.5,0.08625877632898696,0.8626609442060086,0.0,0.9285714285714448,0.47920433996383366,0.7155067155067155
103329.0,0.775,0.5,0.08625877632898696,0.8626609442060086,0.0,0.9285714285714448,0.47920433996383366,0.7155067155067155
79852.23000000001,0.0,0.25,0.03189568706118355,0.6452074391988555,0.1875,0.9285714285714448,1.0,0.7155067155067155
22140.0,0.25,0.25,0.018054162487462385,0.48783977110157367,0.1875,0.9285714285714448,0.32007233273056057,0.7155067155067155
32585.0,0.3125,0.25,0.021063189568706116,0.513590844062947,0.1875,0.9285714285714448,0.15189873417721517,0.7155067155067155
74364.75,0.25,0.25,0.02708124373119358,0.5879828326180258,0.1875,0.9285714285714448,0.26220614828209765,0.7155067155067155
42174.0,0.4625,0.375,0.04212637913741224,0.4220314735336195,0.0,0.9285714285714448,0.5822784810126582,0.7155067155067155
22304.7,0.25,0.25,0.018054162487462385,0.48783977110157367,0.1875,0.9285714285714448,0.32007233273056057,0.7155067155067155
23204.3875,0.3125,0.25,0.021063189568706116,0.513590844062947,0.1875,0.9285714285714448,0.15189873417721517,0.7155067155067155
79674.3,0.25,0.25,0.037111334002006016,0.6280400572246065,0.1875,0.9285714285714448,0.26220614828209765,0.7155067155067155
